country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Balance of payments, current account (million US$)",Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Fertility rate, total (live births per woman)",Refugees and others of concern to UNHCR (in thousands),Infant mortality rate (per 1000 live births,Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),Seats held by women in national parliaments %,Mobile-cellular subscriptions (per 100 inhabitants),Mobile-cellular subscriptions (per 100 inhabitants),Individuals using the Internet (per 100 inhabitants),Threatened species (number),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)","Pop. using improved sanitation facilities (urban/rural, %)"
Ghana,WesternAfrica,238537,28834,126.7,99.3,37156,3.9,1355.6,19,26.9,54.1,41.9,14.2,43.8,5.9,144,144,7221,11939,-4718,-2809,2.4,54,3.4,4.2,27.3,46.5,3.6,...,6.2,12.7,129.7,23.5,238,40.9,410,14,4.81
Greece,SouthernEurope,131957,11160,86.6,96.9,194860,-0.2,17788,4.1,15.7,80.2,12.9,15,72.1,23,86,87,27811,47595,-19784,218,-0.4,78,0.5,1.3,94.7,3.3,8.1,6.3,...,18.3,114,66.8,374,31.2,368,89,-99
Guatemala,CentralAmerica,108889,16914,157.8,96.9,63794,4.1,3903.5,10.8,27.2,62,32,18.5,49.4,2.4,158,158,10572,16987,-6415,-96,2.1,51.6,3.4,3.2,1.8,26.9,6.2,...,3,12.7,111.5,27.1,290,33.4,327,32,0.66
Guinea,WesternAfrica,245857,12717,51.8,100.6,8875,0.1,703.9,19.8,32.8,47.4,69.7,7.4,22.9,6.8,130,131,1753,2082,-329,-1240,2.3,37.2,3.8,5.1,9.2,65.7,5.6,...,3.2,21.9,87.2,4.7,185,26,113,12,8.65
Haiti,Caribbean,27750,10981,398.4,97.8,8501,1.7,793.7,16.7,38.2,45.1,46.9,12.6,40.6,12.9,163,166,984,3316,-2332,-723,1.4,58.6,3.8,3.1,1.9,46.9,7.6,-99,-99,2.6,69.9,12.2,205,3.5,136,16,11.73
Honduras,CentralAmerica,112492,9265,82.8,99.4,20365,3.6,2521.9,13,25.1,61.9,29.4,21.6,49,5.6,122,119,3657,8448,-4791,-1291,1.8,54.7,3.1,2.6,176.2,27.8,8.7,...,5.9,25.8,95.5,20.4,301,42.1,105,28,2.86
Hong Kong,EasternAsia,1106,7365,7014.2,85.1,309236,2.4,42431,0.1,7.2,92.7,0.2,14.9,84.9,3.5,34,34,516588,547124,-30536,10101,0.6,100,0.7,1.2,2.5,1.6,-99,-99,3.3,-99,228.8,84.9,64,-99,-99,83,-99
Hungary,EasternEurope,93024,9722,107.4,90.7,121715,3.1,12350.6,4.1,31.9,64,4.3,29.8,65.9,4.5,99,99,103071,92044,11027,3946,-0.3,71.2,0.5,1.3,14.4,4.9,7.4,3.3,4.7,10.1,118.9,72.8,66,22.8,423,97,-99
Iceland,NorthernEurope,103000,335,3.3,100.7,16780,4.2,50936,6.4,24,69.7,4,17.7,78.2,3.6,117,117,4450,5703,-1254,854,0.6,94.1,1.3,2,0.5,1.6,8.9,3.8,7.8,47.6,114,98.2,27,0.5,284,952,-99
India,SouthernAsia,3287263,1339180,450.4,107.6,2116239,7.6,1614.2,17,29.7,53.2,44.3,24.5,31.2,3.4,143,142,260327,356705,-96378,-22457,1.2,32.7,2.4,2.4,211.1,41.3,4.7,0.7,3.8,11.8,78.8,26,1052,23.7,23103,27,0.16
Indonesia,South-easternAsia,1910931,263991,145.7,101.4,861934,4.8,3346.5,14,41.3,44.7,31.4,22.4,46.2,5.8,139,140,144490,135653,8837,-17697,1.2,53.7,2.7,2.4,13.8,25,2.8,0.2,3.6,19.8,132.4,22,1281,50.6,19481,35,0
Iran,SouthernAsia,1628750,81163,49.8,101.2,398563,0.4,5038.1,8.6,39.1,52.3,16.6,32.5,50.9,11.3,106,107,45627,35333,10294,-99,1.2,73.4,2.1,1.7,978.3,14.8,7.5,1.5,2.9,5.9,93.4,44.1,134,6.6,13291,127,0.02
